행정구역(동읍면)별,항목,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06
행정구역(동읍면)별,항목,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
은평구,남자인구수 (명),233566,7724,9074,9533,11930,15159,17253,15673,19774,17921,21229,18895,18732,16437,11369,9194,7606,4106,1370,397,124,66
은평구,여자인구수 (명),250164,7480,8495,8957,11415,15447,18256,16445,19352,18200,21907,20026,20657,18657,13683,11531,9416,5843,2656,1113,308,320
서대문구,총인구수 (명),311215,9884,11015,10930,14316,22800,26163,21400,23957,21975,26841,24979,24530,21497,14851,12914,11258,7207,2981,1109,345,263
서대문구,남자인구수 (명),149775,5140,5579,5489,7212,10614,13275,10707,11847,10953,13211,12123,11838,10297,6747,5568,4813,2903,990,309,92,68
서대문구,여자인구수 (명),161440,4744,5436,5441,7104,12186,12888,10693,12110,11022,13630,12856,12692,11200,8104,7346,6445,4304,1991,800,253,195
마포구,총인구수 (명),374422,13240,13772,14141,16209,25766,34647,32179,33875,29807,33155,27899,26202,22251,15181,13073,11150,6934,3187,1090,350,314
마포구,남자인구수 (명),177388,6801,6930,7135,8160,11779,16012,14863,16539,14454,16307,13772,12800,10431,6763,5444,4855,2753,1097,317,102,74
마포구,여자인구수 (명),197034,6439,6842,7006,8049,13987,18635,17316,17336,15353,16848,14127,13402,11820,8418,7629,6295,4181,2090,773,248,240
양천구,총인구수 (명),461051,13913,20101,24534,28813,31021,30573,27227,34116,36082,45306,40475,37588,31689,21439,15488,11003,6664,3287,1227,338,167
양천구,남자인구수 (명),226881,7102,10369,12797,15064,16208,15450,13467,16693,17030,22006,20157,18646,15231,10495,7418,4946,2434,937,315,75,41
양천구,여자인구수 (명),234170,6811,9732,11737,13749,14813,15123,13760,17423,19052,23300,20318,18942,16458,10944,8070,6057,4230,2350,912,263,126
강서구,총인구수 (명),595602,21851,23478,22027,26467,36534,51241,50233,54876,45428,48371,43534,46869,42977,29194,21543,15026,9060,4443,1768,464,218
강서구,남자인구수 (명),288905,11143,12020,11304,13448,17578,24024,25172,28180,22883,24210,20895,22016,19999,13691,10382,6710,3338,1318,407,120,67
강서구,여자인구수 (명),306697,10708,11458,10723,13019,18956,27217,25061,26696,22545,24161,22639,24853,22978,15503,11161,8316,5722,3125,1361,344,151
구로구,총인구수 (명),405415,14475,16190,14719,17381,24403,31064,30111,34968,30753,33654,31289,32968,30280,22076,17076,12447,7183,2900,1027,293,158
구로구,남자인구수 (명),200561,7423,8188,7571,8928,12089,15350,15113,17977,15927,17260,15482,16043,14358,10444,8306,5809,3013,944,234,68,34
구로구,여자인구수 (명),204854,7052,8002,7148,8453,12314,15714,14998,16991,14826,16394,15807,16925,15922,11632,8770,6638,4170,1956,793,225,124
금천구,총인구수 (명),234079,6984,7239,7060,9312,15128,21099,17938,18249,15600,19192,20234,21587,18206,12534,9710,7419,3948,1735,573,173,159
금천구,남자인구수 (명),118912,3572,3720,3573,4744,7632,11107,9880,10067,8240,9817,10178,10928,8985,6062,4584,3422,1595,578,118,57,53
금천구,여자인구수 (명),115167,3412,3519,3487,4568,7496,9992,8058,8182,7360,9375,10056,10659,9221,6472,5126,3997,2353,1157,455,116,106
영등포구,총인구수 (명),369017,13384,12601,11432,14161,22212,34260,33466,32922,26581,29563,27830,28859,25790,18152,14588,11411,7092,3041,1089,320,263
영등포구,남자인구수 (명),183460,6851,6389,6026,7498,10477,16492,17023,17170,13675,15213,14248,14478,12681,8679,6940,5116,3018,1026,296,98,66
영등포구,여자인구수 (명),185557,6533,6212,5406,6663,11735,17768,16443,15752,12906,14350,13582,14381,13109,9473,7648,6295,4074,2015,793,222,197
동작구,총인구수 (명),398885,13169,14242,13526,16718,29011,37824,32238,33398,29014,31965,29473,30469,27074,19540,16141,12522,7351,3297,1265,369,279
동작구,남자인구수 (명),193449,6628,7273,7002,8500,13876,18880,16260,16847,14554,15991,14136,14486,12576,8923,7067,5858,3000,1080,338,93,81
동작구,여자인구수 (명),205436,6541,6969,6524,8218,15135,18944,15978,16551,14460,15974,15337,15983,14498,10617,9074,6664,4351,2217,927,276,198
관악구,총인구수 (명),502089,12476,13491,13489,18311,40787,66481,48198,41730,33761,37835,34457,35559,32233,24418,20029,15504,8206,3267,1208,344,305
관악구,남자인구수 (명),251875,6476,6905,6937,9394,18205,34380,26532,22620,18118,20053,17315,17200,15036,11239,9156,7232,3515,1121,287,91,63
관악구,여자인구수 (명),250214,6000,6586,6552,8917,22582,32101,21666,19110,15643,17782,17142,18359,17197,13179,10873,8272,4691,2146,921,253,242
